rank,sector_name,concept_final_rank_score,trend_continuation_score,trend_level_cn,short_term_burst_score,burst_level_cn,agent_consensus_label,agent_ranking_score,agent_opportunity_score,risk_control_score,confidence_score,evidence_score,history_days,actual_history_days,trend_window_status
1,氟化工概念,67.53,66.2,观察,48.8,短线降温,trend_confirmed,80.0,56.0,100.0,0.8,70.0,31,20,ok
2,动物疫苗,63.81,59.0,中性,45.8,短线降温,trend_confirmed,79.0,53.0,100.0,0.9,70.0,31,20,ok
3,丙烯酸,63.51,55.0,中性,45.8,短线降温,trend_confirmed,81.0,58.0,100.0,0.8,70.0,31,20,ok
4,光刻胶,61.92,62.45,中性,30.3,短线偏弱,trend_confirmed,79.0,53.0,100.0,0.7,70.0,31,20,ok
5,芬太尼,50.66,40.0,降温,55.8,短线中性,oversold_rebound_candidate,56.0,37.0,100.0,0.9,70.0,31,20,ok
6,环氧丙烷,50.51,53.0,中性,55.8,短线中性,conflicted,41.0,35.0,100.0,0.7,70.0,31,20,ok
7,海南自贸区,49.66,34.0,偏弱,58.8,短线中性,trend_confirmed_but_strength_limited,57.0,39.0,100.0,0.9,70.0,31,20,ok
8,辅助生殖,48.93,42.2,降温,45.8,短线降温,trend_confirmed_but_strength_limited,55.0,35.0,100.0,0.9,70.0,31,20,ok
9,仿制药一致性评价,48.88,45.2,降温,58.8,短线中性,conflicted,42.0,37.0,100.0,0.7,70.0,31,20,ok
10,合成生物,47.71,47.0,降温,45.8,短线降温,conflicted,43.0,42.0,100.0,0.7,70.0,31,20,ok
11,阿尔茨海默概念,47.68,47.2,降温,45.8,短线降温,conflicted,43.0,41.0,100.0,0.7,70.0,31,20,ok
12,肝炎概念,47.53,38.2,降温,45.8,短线降温,trend_confirmed_but_strength_limited,55.0,35.0,100.0,0.9,70.0,31,20,ok
13,重组蛋白,46.52,44.45,降温,34.3,短线偏弱,trend_confirmed_but_strength_limited,53.0,32.0,100.0,0.8,70.0,31,20,ok
14,工业大麻,46.01,35.0,降温,45.8,短线降温,trend_confirmed_but_strength_limited,54.0,34.0,100.0,0.9,70.0,31,20,ok
15,工业母机,45.35,44.25,降温,37.3,短线降温,defensive_stable_watch,50.0,24.0,100.0,0.9,70.0,31,20,ok
16,创新药,45.28,45.2,降温,45.8,短线降温,conflicted,40.0,33.0,100.0,0.7,70.0,31,20,ok
17,硅能源,44.3,53.25,中性,30.3,短线偏弱,conflicted,39.0,29.0,100.0,0.6,70.0,31,20,ok
18,参股保险,43.46,28.0,偏弱,45.8,短线降温,defensive_watch,54.0,33.0,100.0,0.9,70.0,31,20,ok
19,超级品牌,43.46,28.0,偏弱,45.8,短线降温,trend_confirmed_but_strength_limited,54.0,33.0,100.0,0.9,70.0,31,20,ok
20,存储芯片,43.34,53.65,中性,24.3,短线偏弱,weak_or_avoid,35.0,42.0,100.0,0.8,70.0,31,20,ok
21,核污染防治,43.3,43.25,降温,34.3,短线偏弱,defensive_stable_watch,48.0,19.0,100.0,0.8,70.0,31,20,ok
22,锂电池概念,43.2,41.25,降温,34.3,短线偏弱,defensive_stable_watch,49.0,22.0,100.0,0.8,70.0,31,20,ok
23,参股银行,43.06,28.0,偏弱,45.8,短线降温,defensive_watch,53.0,32.0,100.0,0.9,70.0,31,20,ok
24,固态电池,42.97,43.45,降温,34.3,短线偏弱,defensive_stable_watch,47.0,18.0,100.0,0.8,70.0,31,20,ok
25,第三代半导体,42.47,51.45,中性,27.3,短线偏弱,weak_or_avoid,34.0,38.0,100.0,0.8,70.0,31,20,ok
26,国家大基金持股,42.24,53.65,中性,24.3,短线偏弱,weak_or_avoid,33.0,37.0,100.0,0.8,70.0,31,20,ok
27,华为海思概念股,42.17,43.45,降温,30.3,短线偏弱,defensive_stable_watch,47.0,18.0,100.0,0.8,70.0,31,20,ok
28,传感器,42.05,50.25,中性,34.3,短线偏弱,weak_or_avoid,32.0,30.0,100.0,0.8,70.0,31,20,ok
29,航空发动机,41.75,38.25,降温,34.3,短线偏弱,defensive_stable_watch,48.0,21.0,100.0,0.8,70.0,31,20,ok
30,钙钛矿电池,41.62,42.45,降温,27.3,短线偏弱,defensive_stable_watch,48.0,19.0,100.0,0.8,70.0,31,20,ok
31,电子纸,41.42,46.45,降温,30.3,短线偏弱,conflicted,38.0,27.0,100.0,0.6,70.0,31,20,ok
32,光刻机,41.37,51.45,中性,24.3,短线偏弱,weak_or_avoid,33.0,36.0,100.0,0.8,70.0,31,20,ok
33,AI手机,40.27,41.45,降温,27.3,短线偏弱,defensive_stable_watch,46.0,15.0,100.0,0.8,70.0,31,20,ok
34,超级电容,40.22,46.45,降温,27.3,短线偏弱,conflicted,37.0,24.0,100.0,0.6,70.0,31,20,ok
35,宁德时代概念,40.07,35.45,降温,34.3,短线偏弱,defensive_stable_watch,47.0,17.0,100.0,0.8,70.0,31,20,ok
36,共封装光学(CPO),40.04,43.65,降温,24.3,短线偏弱,defensive_stable_watch,45.0,14.0,100.0,0.8,70.0,31,20,ok
37,富士康概念,40.02,46.45,降温,27.3,短线偏弱,conflicted,37.0,22.0,100.0,0.6,70.0,31,20,ok
38,金属钴,39.98,27.2,偏弱,45.8,短线降温,defensive_stable_watch,48.0,19.0,100.0,0.8,70.0,31,20,ok
39,AI PC,39.92,38.45,降温,30.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,31,20,ok
40,草甘膦,39.76,28.0,偏弱,42.8,短线降温,defensive_stable_watch,48.0,20.0,100.0,0.8,70.0,31,20,ok
41,比亚迪概念,39.65,34.25,偏弱,34.3,短线偏弱,defensive_stable_watch,47.0,17.0,100.0,0.8,70.0,31,20,ok
42,固废处理,38.46,28.0,偏弱,45.8,短线降温,conflicted,39.0,28.0,100.0,0.7,70.0,31,20,ok
43,军工,38.25,30.25,偏弱,34.3,短线偏弱,defensive_stable_watch,47.0,17.0,100.0,0.8,70.0,31,20,ok
44,大飞机,38.25,28.25,偏弱,34.3,短线偏弱,defensive_stable_watch,48.0,21.0,100.0,0.8,70.0,31,20,ok
45,飞行汽车(eVTOL),38.25,28.25,偏弱,34.3,短线偏弱,defensive_stable_watch,48.0,21.0,100.0,0.8,70.0,31,20,ok
46,高端装备,38.25,28.25,偏弱,34.3,短线偏弱,defensive_stable_watch,48.0,21.0,100.0,0.8,70.0,31,20,ok
47,成飞概念,38.05,28.25,偏弱,34.3,短线偏弱,defensive_stable_watch,48.0,19.0,100.0,0.8,70.0,31,20,ok
48,长三角一体化,38.05,28.25,偏弱,34.3,短线偏弱,defensive_stable_watch,48.0,19.0,100.0,0.8,70.0,31,20,ok
49,猴痘概念,38.02,38.45,降温,34.3,短线偏弱,weak_or_avoid,32.0,31.0,100.0,0.8,70.0,31,20,ok
50,超导概念,37.92,36.45,降温,24.3,短线偏弱,defensive_stable_watch,46.0,15.0,100.0,0.8,70.0,31,20,ok
51,安防,37.25,28.25,偏弱,30.3,短线偏弱,defensive_stable_watch,48.0,19.0,100.0,0.8,70.0,31,20,ok
52,BC电池,37.07,33.45,偏弱,27.3,短线偏弱,defensive_stable_watch,45.0,14.0,100.0,0.8,70.0,31,20,ok
53,华为概念,36.95,30.25,偏弱,30.3,短线偏弱,defensive_stable_watch,46.0,15.0,100.0,0.8,70.0,31,20,ok
54,化肥,36.76,28.0,偏弱,45.8,短线降温,weak_or_avoid,32.0,32.0,100.0,0.9,70.0,31,20,ok
55,低空经济,36.75,24.25,偏弱,34.3,短线偏弱,defensive_stable_watch,48.0,20.0,100.0,0.8,70.0,31,20,ok
56,创投,36.75,24.25,偏弱,34.3,短线偏弱,defensive_stable_watch,48.0,20.0,100.0,0.8,70.0,31,20,ok
57,国产航母,36.75,24.25,偏弱,34.3,短线偏弱,defensive_stable_watch,48.0,20.0,100.0,0.8,70.0,31,20,ok
58,核电,36.75,24.25,偏弱,34.3,短线偏弱,defensive_stable_watch,48.0,20.0,100.0,0.8,70.0,31,20,ok
59,海峡两岸,36.75,24.25,偏弱,34.3,短线偏弱,defensive_stable_watch,48.0,20.0,100.0,0.8,70.0,31,20,ok
60,电子竞技,36.75,24.25,偏弱,34.3,短线偏弱,defensive_stable_watch,48.0,20.0,100.0,0.8,70.0,31,20,ok
61,高铁,36.75,24.25,偏弱,34.3,短线偏弱,defensive_stable_watch,48.0,20.0,100.0,0.8,70.0,31,20,ok
62,海工装备,36.65,24.25,偏弱,34.3,短线偏弱,defensive_stable_watch,48.0,19.0,100.0,0.7,70.0,31,20,ok
63,高压快充,36.65,24.25,偏弱,34.3,短线偏弱,defensive_stable_watch,48.0,19.0,100.0,0.7,70.0,31,20,ok
64,国产操作系统,36.35,26.25,偏弱,34.3,短线偏弱,defensive_stable_watch,46.0,15.0,100.0,0.8,70.0,31,20,ok
65,毫米波雷达,36.27,31.45,偏弱,27.3,短线偏弱,defensive_stable_watch,45.0,13.0,100.0,0.8,70.0,31,20,ok
66,光伏概念,36.25,28.25,偏弱,27.3,短线偏弱,defensive_stable_watch,47.0,18.0,100.0,0.8,70.0,31,20,ok
67,宠物经济,36.25,24.25,偏弱,34.3,短线偏弱,defensive_stable_watch,47.0,18.0,100.0,0.8,70.0,31,20,ok
68,供销社,36.15,24.25,偏弱,34.3,短线偏弱,defensive_stable_watch,47.0,17.0,100.0,0.8,70.0,31,20,ok
69,参股券商,36.15,24.25,偏弱,34.3,短线偏弱,defensive_stable_watch,47.0,17.0,100.0,0.8,70.0,31,20,ok
70,工业互联网,36.15,24.25,偏弱,34.3,短线偏弱,defensive_stable_watch,47.0,17.0,100.0,0.8,70.0,31,20,ok
71,股权转让(并购重组),36.15,24.25,偏弱,34.3,短线偏弱,defensive_stable_watch,47.0,17.0,100.0,0.8,70.0,31,20,ok
72,高股息精选,36.06,28.0,偏弱,42.8,短线降温,weak_or_avoid,32.0,31.0,100.0,0.9,70.0,31,20,ok
73,ETC,35.75,26.25,偏弱,31.3,短线偏弱,defensive_stable_watch,46.0,15.0,100.0,0.8,70.0,31,20,ok
74,多模态AI,35.75,24.25,偏弱,34.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,31,20,ok
75,广东自贸区,35.75,24.25,偏弱,34.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,31,20,ok
76,抖音概念(字节概念),35.75,24.25,偏弱,34.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,31,20,ok
77,独角兽概念,35.75,24.25,偏弱,34.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,31,20,ok
78,福建自贸区,35.75,24.25,偏弱,34.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,31,20,ok
79,车联网(车路协同),35.75,24.25,偏弱,34.3,短线偏弱,defensive_stable_watch,46.0,16.0,100.0,0.8,70.0,31,20,ok
80,横琴新区,35.65,24.25,偏弱,31.3,短线偏弱,defensive_stable_watch,47.0,18.0,100.0,0.8,70.0,31,20,ok
81,黄金概念,35.58,25.2,偏弱,45.8,短线降温,weak_or_avoid,32.0,30.0,100.0,0.9,70.0,31,20,ok
82,东数西算(算力),35.55,26.25,偏弱,30.3,短线偏弱,defensive_stable_watch,46.0,15.0,100.0,0.8,70.0,31,20,ok
83,高压氧舱,35.55,24.25,偏弱,31.3,短线偏弱,defensive_stable_watch,47.0,17.0,100.0,0.8,70.0,31,20,ok
84,三胎概念,35.26,24.0,偏弱,45.8,短线降温,weak_or_avoid,32.0,31.0,100.0,0.9,70.0,31,20,ok
85,短剧游戏,35.26,24.0,偏弱,45.8,短线降温,weak_or_avoid,32.0,31.0,100.0,0.9,70.0,31,20,ok
86,航运概念,35.26,24.0,偏弱,45.8,短线降温,weak_or_avoid,32.0,31.0,100.0,0.9,70.0,31,20,ok
87,互联网金融,35.25,20.25,偏弱,34.3,短线偏弱,defensive_stable_watch,48.0,19.0,100.0,0.7,70.0,31,20,ok
88,共享单车,35.25,20.25,偏弱,34.3,短线偏弱,defensive_stable_watch,48.0,19.0,100.0,0.8,70.0,31,20,ok
89,地下管网,35.16,24.0,偏弱,45.8,短线降温,weak_or_avoid,32.0,30.0,100.0,0.9,70.0,31,20,ok
90,华为汽车,34.9,19.25,偏弱,34.3,短线偏弱,defensive_stable_watch,48.0,19.0,100.0,0.7,70.0,31,20,ok
91,长安汽车概念,34.9,19.25,偏弱,34.3,短线偏弱,defensive_stable_watch,48.0,19.0,100.0,0.7,70.0,31,20,ok
92,国资云,34.85,20.25,偏弱,34.3,短线偏弱,defensive_stable_watch,47.0,18.0,100.0,0.7,70.0,31,20,ok
93,储能,34.5,19.25,偏弱,34.3,短线偏弱,defensive_stable_watch,47.0,18.0,100.0,0.7,70.0,31,20,ok
94,充电桩,34.5,19.25,偏弱,34.3,短线偏弱,defensive_stable_watch,47.0,18.0,100.0,0.7,70.0,31,20,ok
95,动力电池回收,34.4,19.25,偏弱,34.3,短线偏弱,defensive_stable_watch,47.0,17.0,100.0,0.7,70.0,31,20,ok
96,华为鲲鹏,34.25,20.25,偏弱,34.3,短线偏弱,defensive_stable_watch,46.0,15.0,100.0,0.7,70.0,31,20,ok
97,换电概念,34.25,20.25,偏弱,34.3,短线偏弱,defensive_stable_watch,46.0,15.0,100.0,0.8,70.0,31,20,ok
98,百度概念,34.25,20.25,偏弱,34.3,短线偏弱,defensive_stable_watch,46.0,15.0,100.0,0.8,70.0,31,20,ok
99,阿里巴巴概念,34.25,20.25,偏弱,34.3,短线偏弱,defensive_stable_watch,46.0,15.0,100.0,0.8,70.0,31,20,ok
100,鸿蒙概念,34.25,20.25,偏弱,34.3,短线偏弱,defensive_stable_watch,46.0,15.0,100.0,0.8,70.0,31,20,ok
101,电力物联网,33.95,20.25,偏弱,30.3,短线偏弱,defensive_stable_watch,47.0,17.0,100.0,0.8,70.0,31,20,ok
102,俄乌冲突概念,33.9,19.25,偏弱,31.3,短线偏弱,defensive_stable_watch,47.0,18.0,100.0,0.8,70.0,31,20,ok
103,钒电池,33.9,19.25,偏弱,31.3,短线偏弱,defensive_stable_watch,47.0,18.0,100.0,0.8,70.0,31,20,ok
104,华为欧拉,33.85,20.25,偏弱,34.3,短线偏弱,defensive_stable_watch,45.0,14.0,100.0,0.7,70.0,31,20,ok
105,代糖概念,33.8,19.25,偏弱,31.3,短线偏弱,defensive_stable_watch,47.0,17.0,100.0,0.7,70.0,31,20,ok
106,风电,33.8,19.25,偏弱,31.3,短线偏弱,defensive_stable_watch,47.0,17.0,100.0,0.8,70.0,31,20,ok
107,EDR概念,33.47,21.45,偏弱,30.3,短线偏弱,defensive_stable_watch,45.0,14.0,100.0,0.8,70.0,31,20,ok
108,ERP概念,33.1,15.25,偏弱,34.3,短线偏弱,defensive_stable_watch,47.0,18.0,100.0,0.7,70.0,31,20,ok
109,电子身份证,32.95,20.25,偏弱,30.3,短线偏弱,defensive_stable_watch,45.0,13.0,100.0,0.8,70.0,31,20,ok
110,AI语料,32.87,17.45,偏弱,34.3,短线偏弱,defensive_stable_watch,45.0,14.0,100.0,0.7,70.0,31,20,ok
111,冰雪产业,32.45,20.25,偏弱,34.3,短线偏弱,conflicted,37.0,24.0,100.0,0.6,70.0,31,20,ok
112,光热发电,32.4,15.25,偏弱,31.3,短线偏弱,defensive_stable_watch,47.0,17.0,100.0,0.7,70.0,31,20,ok
113,抽水蓄能,32.4,15.25,偏弱,31.3,短线偏弱,defensive_stable_watch,47.0,17.0,100.0,0.7,70.0,31,20,ok
114,共同富裕示范区,32.35,24.25,偏弱,34.3,短线偏弱,weak_or_avoid,31.0,27.0,100.0,0.8,70.0,31,20,ok
115,国企改革,32.35,24.25,偏弱,34.3,短线偏弱,weak_or_avoid,31.0,27.0,100.0,0.8,70.0,31,20,ok
116,白酒概念,31.9,15.25,偏弱,31.3,短线偏弱,defensive_stable_watch,46.0,15.0,100.0,0.8,70.0,31,20,ok
117,大豆,31.71,17.0,偏弱,42.8,短线降温,weak_or_avoid,31.0,29.0,100.0,0.9,70.0,31,20,ok
118,黑龙江自贸区,31.05,20.25,偏弱,34.3,短线偏弱,weak_or_avoid,31.0,28.0,100.0,0.8,70.0,31,20,ok
119,超超临界发电,31.0,11.25,偏弱,31.3,短线偏弱,defensive_stable_watch,47.0,17.0,100.0,0.7,70.0,31,20,ok
120,F5G概念,30.69,18.65,偏弱,24.3,短线偏弱,defensive_stable_watch,44.0,11.0,100.0,0.8,70.0,31,20,ok
