rank,sector_name,concept_final_rank_score,trend_continuation_score,trend_level_cn,short_term_burst_score,burst_level_cn,agent_consensus_label,agent_ranking_score,agent_opportunity_score,risk_control_score,confidence_score,evidence_score,history_days,actual_history_days,trend_window_status
1,氟化工概念,67.53,66.2,观察,48.8,短线降温,trend_confirmed,80.0,56.0,100.0,0.8,70.0,31,20,ok
2,动物疫苗,64.96,62.0,中性,45.8,短线降温,trend_confirmed,79.0,54.0,100.0,0.8,70.0,31,20,ok
3,丙烯酸,63.51,55.0,中性,45.8,短线降温,trend_confirmed,81.0,58.0,100.0,0.8,70.0,31,20,ok
4,光刻胶,61.92,62.45,中性,30.3,短线偏弱,trend_confirmed,79.0,53.0,100.0,0.7,70.0,31,20,ok
5,合成生物,60.26,50.0,中性,45.8,短线降温,trend_confirmed,78.0,52.0,100.0,0.9,70.0,31,20,ok
6,环氧丙烷,51.66,56.0,中性,55.8,短线中性,conflicted,41.0,36.0,100.0,0.7,70.0,31,20,ok
7,仿制药一致性评价,50.03,48.2,降温,58.8,短线中性,conflicted,42.0,38.0,100.0,0.7,70.0,31,20,ok
8,海南自贸区,49.66,34.0,偏弱,58.8,短线中性,trend_confirmed_but_strength_limited,57.0,39.0,100.0,0.9,70.0,31,20,ok
9,肝炎概念,49.03,42.2,降温,45.8,短线降温,trend_confirmed_but_strength_limited,55.0,36.0,100.0,0.9,70.0,31,20,ok
10,芬太尼,48.76,48.0,降温,55.8,短线中性,conflicted,41.0,35.0,100.0,0.7,70.0,31,20,ok
11,工业大麻,47.81,39.0,降温,45.8,短线降温,trend_confirmed_but_strength_limited,55.0,35.0,100.0,0.9,70.0,31,20,ok
12,阿尔茨海默概念,47.78,47.2,降温,45.8,短线降温,conflicted,43.0,42.0,100.0,0.7,70.0,31,20,ok
13,创新药,46.73,48.2,降温,45.8,短线降温,conflicted,41.0,34.0,100.0,0.7,70.0,31,20,ok
14,重组蛋白,46.52,44.45,降温,34.3,短线偏弱,trend_confirmed_but_strength_limited,53.0,32.0,100.0,0.8,70.0,31,20,ok
15,辅助生殖,45.28,45.2,降温,45.8,短线降温,conflicted,40.0,33.0,100.0,0.7,70.0,31,20,ok
16,硅能源,44.3,53.25,中性,30.3,短线偏弱,conflicted,39.0,29.0,100.0,0.6,70.0,31,20,ok
17,工业母机,44.2,47.25,降温,37.3,短线降温,conflicted,40.0,32.0,100.0,0.7,70.0,31,20,ok
18,传感器,43.95,50.25,中性,34.3,短线偏弱,conflicted,39.0,28.0,100.0,0.6,70.0,31,20,ok
19,超级品牌,43.56,28.0,偏弱,45.8,短线降温,trend_confirmed_but_strength_limited,54.0,34.0,100.0,0.9,70.0,31,20,ok
20,参股保险,43.46,28.0,偏弱,45.8,短线降温,defensive_watch,54.0,33.0,100.0,0.9,70.0,31,20,ok
21,参股银行,43.46,28.0,偏弱,45.8,短线降温,defensive_watch,54.0,33.0,100.0,0.9,70.0,31,20,ok
22,固态电池,43.37,43.45,降温,34.3,短线偏弱,defensive_stable_watch,48.0,19.0,100.0,0.8,70.0,31,20,ok
23,存储芯片,43.34,53.65,中性,24.3,短线偏弱,weak_or_avoid,35.0,42.0,100.0,0.8,70.0,31,20,ok
24,第三代半导体,42.57,51.45,中性,27.3,短线偏弱,weak_or_avoid,34.0,39.0,100.0,0.8,70.0,31,20,ok
25,华为海思概念股,42.57,43.45,降温,30.3,短线偏弱,defensive_stable_watch,48.0,19.0,100.0,0.8,70.0,31,20,ok
26,国家大基金持股,42.24,53.65,中性,24.3,短线偏弱,weak_or_avoid,33.0,37.0,100.0,0.8,70.0,31,20,ok
