rank,sector_name,concept_final_rank_score,trend_continuation_score,trend_level_cn,short_term_burst_score,burst_level_cn,agent_consensus_label,agent_ranking_score,agent_opportunity_score,risk_control_score,confidence_score,evidence_score,history_days,actual_history_days,trend_window_status
1,氟化工概念,74.63,70.2,观察,69.8,短线活跃,trend_confirmed,83.0,62.0,100.0,0.9,70.0,30,20,ok
2,光刻胶,74.43,74.2,观察,58.8,短线中性,strong_consensus,84.0,65.0,100.0,0.8,70.0,30,20,ok
3,光刻机,67.93,66.2,观察,45.8,短线降温,trend_confirmed,82.0,60.0,100.0,0.8,70.0,30,20,ok
4,存储芯片,67.23,62.2,中性,48.8,短线降温,trend_confirmed,82.0,61.0,100.0,0.8,70.0,30,20,ok
5,硅能源,66.01,65.0,观察,58.8,短线中性,trend_confirmed,72.0,49.0,100.0,0.9,70.0,30,20,ok
6,华为海思概念股,63.83,50.2,中性,55.8,短线中性,trend_confirmed,81.0,58.0,100.0,0.9,70.0,30,20,ok
7,超级电容,62.73,50.2,中性,55.8,短线中性,trend_confirmed,79.0,53.0,100.0,0.9,70.0,30,20,ok
8,国家大基金持股,62.14,55.65,中性,40.3,短线降温,trend_confirmed,80.0,56.0,100.0,0.8,70.0,30,20,ok
9,第三代半导体,61.72,56.45,中性,37.3,短线降温,trend_confirmed,80.0,55.0,100.0,0.8,70.0,30,20,ok
10,电子纸,60.33,50.2,中性,45.8,短线降温,trend_confirmed,78.0,52.0,100.0,0.9,70.0,30,20,ok
11,重组蛋白,56.03,44.2,降温,69.8,短线活跃,trend_confirmed_but_strength_limited,58.0,42.0,100.0,0.9,70.0,30,20,ok
12,创新药,54.23,40.2,降温,69.8,短线活跃,trend_confirmed_but_strength_limited,57.0,41.0,100.0,0.9,70.0,30,20,ok
13,猴痘概念,54.12,38.45,降温,72.3,短线活跃,trend_confirmed_but_strength_limited,57.0,41.0,100.0,0.9,70.0,30,20,ok
14,合成生物,53.81,41.0,降温,66.8,短线活跃,trend_confirmed_but_strength_limited,57.0,40.0,100.0,0.9,70.0,30,20,ok
15,仿制药一致性评价,52.03,36.2,降温,66.8,短线活跃,trend_confirmed_but_strength_limited,57.0,39.0,100.0,0.9,70.0,30,20,ok
16,辅助生殖,52.03,36.2,降温,66.8,短线活跃,trend_confirmed_but_strength_limited,57.0,39.0,100.0,0.9,70.0,30,20,ok
17,阿尔茨海默概念,52.03,36.2,降温,66.8,短线活跃,trend_confirmed_but_strength_limited,57.0,39.0,100.0,0.9,70.0,30,20,ok
18,动物疫苗,51.21,49.0,降温,63.8,短线中性,conflicted,42.0,37.0,100.0,0.7,70.0,30,20,ok
19,丙烯酸,51.16,46.0,降温,61.8,短线中性,conflicted,44.0,45.0,100.0,0.7,70.0,30,20,ok
20,肝炎概念,50.23,32.2,偏弱,66.8,短线活跃,oversold_rebound_candidate,56.0,38.0,100.0,0.9,70.0,30,20,ok
21,核污染防治,48.76,42.0,降温,55.8,短线中性,early_repair_watch,51.0,26.0,100.0,0.8,70.0,30,20,ok
22,黑龙江自贸区,48.76,30.0,偏弱,63.8,短线中性,oversold_rebound_candidate,56.0,37.0,100.0,0.9,70.0,30,20,ok
23,工业大麻,48.46,30.0,偏弱,66.8,短线活跃,oversold_rebound_candidate,54.0,34.0,100.0,0.6,70.0,30,20,ok
24,航空发动机,48.26,42.0,降温,55.8,短线中性,early_repair_watch,50.0,24.0,100.0,0.8,70.0,30,20,ok
25,工业母机,48.16,46.0,降温,55.8,短线中性,conflicted,41.0,36.0,100.0,0.7,70.0,30,20,ok
26,高压氧舱,48.16,34.0,偏弱,66.8,短线活跃,short_term_active_unconfirmed,51.0,26.0,100.0,0.8,70.0,30,20,ok
27,芬太尼,47.66,34.0,偏弱,63.8,短线中性,early_repair_watch,51.0,27.0,100.0,0.8,70.0,30,20,ok
28,环氧丙烷,47.56,40.0,降温,55.8,短线中性,early_repair_watch,50.0,24.0,100.0,0.8,70.0,30,20,ok
29,锂电池概念,47.56,40.0,降温,55.8,短线中性,early_repair_watch,50.0,24.0,100.0,0.8,70.0,30,20,ok
30,宠物经济,47.56,34.0,偏弱,63.8,短线中性,early_repair_watch,51.0,26.0,100.0,0.8,70.0,30,20,ok
31,传感器,47.16,56.0,中性,45.8,短线降温,weak_or_avoid,33.0,35.0,100.0,0.9,70.0,30,20,ok
32,华为概念,46.96,38.0,降温,55.8,短线中性,early_repair_watch,50.0,25.0,100.0,0.8,70.0,30,20,ok
33,东数西算(算力),46.86,38.0,降温,55.8,短线中性,early_repair_watch,50.0,24.0,100.0,0.8,70.0,30,20,ok
34,军工,46.86,38.0,降温,55.8,短线中性,early_repair_watch,50.0,24.0,100.0,0.8,70.0,30,20,ok
35,大飞机,46.86,38.0,降温,55.8,短线中性,early_repair_watch,50.0,24.0,100.0,0.8,70.0,30,20,ok
36,超级品牌,46.61,31.0,偏弱,55.8,短线中性,oversold_rebound_candidate,54.0,34.0,100.0,0.9,70.0,30,20,ok
37,比亚迪概念,46.46,38.0,降温,55.8,短线中性,early_repair_watch,49.0,23.0,100.0,0.8,70.0,30,20,ok
38,互联网金融,46.26,30.0,偏弱,63.8,短线中性,early_repair_watch,51.0,27.0,100.0,0.8,70.0,30,20,ok
39,化肥,46.26,30.0,偏弱,63.8,短线中性,early_repair_watch,51.0,27.0,100.0,0.8,70.0,30,20,ok
40,安防,46.16,36.0,降温,55.8,短线中性,early_repair_watch,50.0,24.0,100.0,0.8,70.0,30,20,ok
41,供销社,46.16,30.0,偏弱,63.8,短线中性,early_repair_watch,51.0,26.0,100.0,0.8,70.0,30,20,ok
42,超导概念,45.75,44.25,降温,34.3,短线偏弱,defensive_stable_watch,52.0,28.0,100.0,0.8,70.0,30,20,ok
43,国产航母,45.01,31.0,偏弱,55.8,短线中性,early_repair_watch,51.0,27.0,100.0,0.8,70.0,30,20,ok
44,飞行汽车(eVTOL),45.01,31.0,偏弱,55.8,短线中性,early_repair_watch,51.0,27.0,100.0,0.8,70.0,30,20,ok
45,高端装备,45.01,31.0,偏弱,55.8,短线中性,early_repair_watch,51.0,27.0,100.0,0.8,70.0,30,20,ok
46,创投,44.91,31.0,偏弱,55.8,短线中性,early_repair_watch,51.0,26.0,100.0,0.8,70.0,30,20,ok
47,核电,44.91,31.0,偏弱,55.8,短线中性,early_repair_watch,51.0,26.0,100.0,0.8,70.0,30,20,ok
48,海峡两岸,44.91,31.0,偏弱,55.8,短线中性,early_repair_watch,51.0,26.0,100.0,0.8,70.0,30,20,ok
49,海工装备,44.91,31.0,偏弱,55.8,短线中性,early_repair_watch,51.0,26.0,100.0,0.8,70.0,30,20,ok
50,电子竞技,44.91,31.0,偏弱,55.8,短线中性,early_repair_watch,51.0,26.0,100.0,0.8,70.0,30,20,ok
51,风电,44.91,31.0,偏弱,55.8,短线中性,early_repair_watch,51.0,26.0,100.0,0.8,70.0,30,20,ok
52,高铁,44.91,31.0,偏弱,55.8,短线中性,early_repair_watch,51.0,26.0,100.0,0.8,70.0,30,20,ok
53,固态电池,44.73,40.2,降温,45.8,短线降温,defensive_stable_watch,48.0,21.0,100.0,0.8,70.0,30,20,ok
54,光伏概念,44.71,39.0,降温,45.8,短线降温,defensive_stable_watch,49.0,22.0,100.0,0.9,70.0,30,20,ok
